"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 10 06:26:59 UTC 2020","Tue Nov 10 06:27:01 UTC 2020","2195","Transaction-Rec-Ctrl","","","","","get one of transactionLog process",""
"passed","Tue Nov 10 06:27:47 UTC 2020","Tue Nov 10 06:27:48 UTC 2020","598","Transaction-Log-Ctrl","","","","","CreateTransactionID1",""
"passed","Tue Nov 10 06:54:52 UTC 2020","Tue Nov 10 06:54:54 UTC 2020","2047","Transaction-Rec-Ctrl","","","","","get one of transactionLog process",""
"failed","Tue Nov 10 06:54:46 UTC 2020","Tue Nov 10 06:54:47 UTC 2020","719","Verify Ver","","","","","Chk Ver",""
"failed","Tue Nov 10 06:26:53 UTC 2020","Tue Nov 10 06:26:54 UTC 2020","782","Verify Ver","","","","","Chk Ver",""
"passed","Tue Nov 10 06:27:01 UTC 2020","Tue Nov 10 06:27:03 UTC 2020","2110","Transaction-Rec-Ctrl","","","","","get whole transactionLog process list",""
"failed","Tue Nov 10 06:27:56 UTC 2020","Tue Nov 10 06:27:57 UTC 2020","572","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions",""
"passed","Tue Nov 10 06:59:20 UTC 2020","Tue Nov 10 06:59:20 UTC 2020","618","Transaction-Rec-Ctrl","","","","","ChkComplete_forID4_forFail",""
"passed","Tue Nov 10 06:54:47 UTC 2020","Tue Nov 10 06:54:48 UTC 2020","603","Transaction-Log-Ctrl","","","","","CreateTransactionID1",""
"failed","Tue Nov 10 06:27:03 UTC 2020","Tue Nov 10 06:27:04 UTC 2020","574","Transaction-Rec-Ctrl","","","","","get transactionLog by multiple conditions",""
"passed","Tue Nov 10 06:26:55 UTC 2020","Tue Nov 10 06:26:56 UTC 2020","597","Transaction-Log-Ctrl","","","","","CreateTransactionID3_SameTransactionID2",""
"passed","Tue Nov 10 06:26:56 UTC 2020","Tue Nov 10 06:26:56 UTC 2020","591","Transaction-Log-Ctrl","","","","","ChkComplete1_forID2_forSuccess",""
"passed","Tue Nov 10 06:54:54 UTC 2020","Tue Nov 10 06:54:56 UTC 2020","2032","Transaction-Rec-Ctrl","","","","","get whole transactionLog process list",""
"passed","Tue Nov 10 06:27:50 UTC 2020","Tue Nov 10 06:27:51 UTC 2020","613","Transaction-Log-Ctrl","","","","","ChkComplete2_forID3_forFail",""
"passed","Tue Nov 10 06:27:52 UTC 2020","Tue Nov 10 06:27:54 UTC 2020","2059","Transaction-Rec-Ctrl","","","","","get one of transactionLog process",""
