"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Transaction-Log-Ctrl","api/v1.0/transaction","0","0","3","0","0"
"","Transaction-Rec-Ctrl","api/v1.0/transaction","0","0","1","0","0"
"","Transaction-Log-Ctrl","api/v1.0/checkComplete","0","0","2","0","0"
"","Transaction-Log-Ctrl","api/v1.0/checkCompleteForBatch","0","0","1","0","0"
"","Transaction-Rec-Ctrl","api/v1.0/currentTransactions/{{strID4}}","0","0","1","0","0"
"","Transaction-Rec-Ctrl","api/v1.0/transactions","1","0","1","0","0"
"","Transaction-Rec-Ctrl","api/v1.0/currentTransaction/{{strID4}}/service/{{strTestServiceName4}}/sort/{{intSort4}}","0","0","1","0","0"
"","Transaction-Rec-Ctrl","api/v1.0/checkComplete","0","0","1","0","0"
"","Verify Ver","actuator/info","1","0","0","0","0"
